density,density_level,target_long_fraction_pct,model_key,distserve_variant,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_variant,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis2_all_ttft_p99_ms,distserve_vs_cucumis2_all_ttft_p99_ms_ratio,distserve_short_ttft_p99_ms,cucumis2_short_ttft_p99_ms,distserve_vs_cucumis2_short_ttft_p99_ms_ratio,distserve_long_ttft_p99_ms,cucumis2_long_ttft_p99_ms,distserve_vs_cucumis2_long_ttft_p99_ms_ratio,distserve_all_completion_p99_ms,cucumis2_all_completion_p99_ms,distserve_vs_cucumis2_all_completion_p99_ms_ratio,distserve_short_completion_p99_ms,cucumis2_short_completion_p99_ms,distserve_vs_cucumis2_short_completion_p99_ms_ratio,distserve_long_completion_p99_ms,cucumis2_long_completion_p99_ms,distserve_vs_cucumis2_long_completion_p99_ms_ratio,distserve_round_wall_ms,cucumis2_round_wall_ms,distserve_vs_cucumis2_round_wall_ms_ratio,distserve_throughput_rps,cucumis2_throughput_rps,distserve_vs_cucumis2_throughput_rps_ratio
mid_l30,mid,30,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,2395.985238484839,838.4783103322843,2.857539913626774,2392.865176911947,260.2137972583296,9.195765951397298,2339.6695170223056,858.4655899537029,2.725408617890537,40730.623863576395,8643.486434421211,4.712291061321463,40747.719459945365,8148.567208546738,5.000599297654016,32232.16204849639,8643.96591188939,3.7288626976377226,46168.77083840779,13557.766297496033,3.4053375626436817,0.866398719663415,2.950340967629546,0.2936605392967592
mid_l30,mid,30,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,2395.985238484839,760.2792708636844,3.1514541173310926,2392.865176911947,251.78706737526227,9.5035269358995,2339.6695170223056,769.2493136276607,3.0414970485820603,40730.623863576395,8551.402791041764,4.763034189693974,40747.719459945365,8105.386768078315,5.027239368813752,32232.16204849639,8560.066297226003,3.7654103285323415,46168.77083840779,13652.97988899551,3.381589309716955,0.866398719663415,2.929766404507049,0.2957227983536769
mid_l50,mid,50,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,3380.5240023217157,860.8840025213431,3.9268054609226004,2427.8696223227366,249.00270463171182,9.750374502613072,3436.4113893219705,872.4345212228944,3.9388759909513222,40615.33275419912,8657.518810818729,4.691336356491056,32182.61583760202,8166.564180848945,3.940777923851021,40629.55367034001,8686.71166731423,4.677207581692637,46239.99095996942,14096.70605398283,3.2801982805695906,0.8650528963944463,2.8375436426089307,0.30485976793614644
mid_l50,mid,50,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,3380.5240023217157,871.9791211863048,3.876840534579086,2427.8696223227366,297.57225793960964,8.158924622655707,3436.4113893219705,878.4419492795132,3.9119390782059886,40615.33275419912,8631.414447661955,4.705524569637697,32182.61583760202,8055.55606919399,3.995083090622954,40629.55367034001,8640.902571154293,4.702003446488637,46239.99095996942,13982.996273013174,3.3068728659544466,0.8650528963944463,2.860620172975981,0.30240047405332676
mid_l70,mid,70,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,4910.399056980339,1004.3427838699425,4.889166463724213,1771.4890229469909,281.5018506179331,6.292992458338524,4944.481840681935,1034.5257297472563,4.7794672462036445,40850.314199380206,8828.304057174246,4.627198376361261,30606.549855727866,8221.017669627909,3.7229636385288476,40864.99449736098,8857.344402651652,4.613684716282128,46443.72135131125,13759.786697528752,3.375322770058093,0.8612803122520543,2.907416101656836,0.296235654662998
mid_l70,mid,70,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,4910.399056980339,1044.6984162958688,4.700302958619271,1771.4890229469909,270.40766679216176,6.551178980840718,4944.481840681935,1057.4274943579803,4.675953544865966,40850.314199380206,9517.149966905708,4.292284385706889,30606.549855727866,8892.4891710456,3.441842803180954,40864.99449736098,9532.844353080145,4.286757759152665,46443.72135131125,14537.282618525782,3.1948007457820946,0.8612803122520543,2.751549369046498,0.3130164851632359
mid_l90,mid,90,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,6700.622089647466,1038.933766814298,6.449518057530952,893.019920816067,287.0445898323669,3.111084313895579,6712.029966707584,1040.6371952936752,6.449923178859085,46186.5849937383,9752.016780718113,4.736105980155752,18933.591314571702,9194.106045810622,2.0593183524567857,46186.83998526742,9761.043351617991,4.73175236719049,51738.693864517205,15015.704334493825,3.4456388266558995,0.7731235373513606,2.6638961312278346,0.29022285376983337
mid_l90,mid,90,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,6700.622089647466,918.9035429613432,7.291975464642811,893.019920816067,253.1598751799902,3.5274939213062604,6712.029966707584,920.5822140414966,7.29107065542875,46186.5849937383,9204.75818428502,5.01768586084001,18933.591314571702,8622.750317147584,2.1957717222681867,46186.83998526742,9206.930841846042,5.016529479655209,51738.693864517205,14253.548666469618,3.6298815877500403,0.7731235373513606,2.8123460297675242,0.2749034184158587
high_l10,high,10,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-RR,round_robin,equal_resource_2xa100_real_split,2347.955081324826,774.1143504134379,3.0330855900950984,2348.6577506232384,279.73164346767584,8.396110363161812,1671.3546720783056,804.9985349713825,2.076220762485887,46293.969836090575,8417.435838607198,5.499771037607418,46294.764255242495,7968.9539543454885,5.809390356685127,34497.40136817579,8438.921786835708,4.087892060095876,50527.2898156171,12175.374311019224,4.149957818536041,0.7923449606552111,3.2853206120377534,0.24117736264520956
high_l10,high,10,gemma-2-9b-it,DistServe-2A100,continuous_batching,16,0.08,CUCUMIS-2A100-LB,least_backlog,equal_resource_2xa100_real_split,2347.955081324826,723.3214283152483,3.2460742754347196,2348.6577506232384,245.94505025888793,9.54952233497272,1671.3546720783056,726.230732507538,2.3014100027238347,46293.969836090575,8154.3034982305835,5.677243905152167,46294.764255242495,7875.851254956797,5.878064828370917,34497.40136817579,8317.518428522744,4.147559354948468,50527.2898156171,12107.999847535068,4.173050086873216,0.7923449606552111,3.3036011676150747,0.2398428019769766
