density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,arrival_offset_s,prompt_tokens,ttft_mode,first_latency_ms,prefill_ttft_ms,decode_ready_ttft_ms,decode_start_ttft_ms,decode_first_token_ttft_ms,decode_queue_first_token_ttft_ms,finish_latency_ms,scheduled_first_latency_ms,scheduled_finish_latency_ms,prefill_start_ms,prefill_finish_ms,kv_transfer_ms,decode_start_ms,decode_finish_ms,tpot_ms,is_short,dispatcher,replica_id,first_event_index,finish_event_index
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_17,1.631435,,,147.71276200190187,,,,,,4702.424908988178,212.8439390216954,4767.556086007971,,,,,,,False,least_backlog,0,98,1104
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_15,1.687524,,,147.71276200190187,,,,,,4702.424908988178,156.7549390019849,4711.467085988261,,,,,,,True,least_backlog,0,97,1103
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_09,2.002767,,,143.29687895951793,,,,,,4715.0636579608545,198.25550896348432,4770.022287964821,,,,,,,True,least_backlog,0,144,1165
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_03,2.045993,,,143.29687895951793,,,,,,4715.0636579608545,155.02950898371637,4726.796287985053,,,,,,,True,least_backlog,0,145,1166
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_06,2.165321,,,142.39029900636524,,,,,,4714.735757035669,178.11756598530337,4750.463024014607,,,,,,,True,least_backlog,0,168,1187
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_07,2.374658,,,433.85120801394805,,,,,,4995.730088965502,474.4126769946888,5036.291557946242,,,,,,,False,least_backlog,0,253,1251
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_01,2.699015,,,146.00879600038752,,,,,,4707.887676951941,150.055676989723,4711.934557941277,,,,,,,True,least_backlog,0,254,1252
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_15,2.732364,,,380.53906097775325,,,,,,4920.362523000222,423.7798099638894,4963.603271986358,,,,,,,False,least_backlog,0,298,1280
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_08,2.894101,,,148.85792101267725,,,,,,4704.051893029828,175.19907199312001,4730.39304401027,,,,,,,True,least_backlog,0,297,1274
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_13,3.093428,,,144.0996549790725,,,,,,4681.039138988126,206.84706198517233,4743.786545994226,,,,,,,True,least_backlog,0,346,1291
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_08,3.353249,,,433.796364988666,,,,,,4955.944888992235,453.0115390080027,4975.160063011572,,,,,,,False,least_backlog,0,466,1320
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_a,3.66159,,,364.0669609885663,,,,,,4883.78614699468,435.77524402644485,4955.494430032559,,,,,,,False,least_backlog,0,521,1332
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_09,3.991238,,,446.91288605099544,,,,,,4944.443070038687,479.5956020243466,4977.125786012039,,,,,,,False,least_backlog,0,635,1343
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_12,4.280129,,,151.38877200661227,,,,,,4648.918955994304,190.704601991456,4688.234785979148,,,,,,,False,least_backlog,0,636,1344
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_11,0.118613,,,73.1818180065602,,,,,,4976.848274003714,73.24930501636118,4976.915761013515,,,,,,,True,least_backlog,1,1,623
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_14,0.27491,,,139.69447498675436,,,,,,5053.656050993595,197.0262130489573,5110.987789055798,,,,,,,True,least_backlog,1,6,696
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_17,0.536333,,,143.3801610255614,,,,,,5057.8343470115215,151.17159904912114,5065.625785035081,,,,,,,True,least_backlog,1,13,748
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_01,0.589902,,,430.70909701054916,,,,,,5344.939355971292,456.3619630644098,5370.592222025152,,,,,,,False,least_backlog,1,29,829
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_07,1.052165,,,144.92142701055855,,,,,,5054.367984004784,214.44717200938612,5123.893729003612,,,,,,,True,least_backlog,1,42,875
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_02,1.133264,,,508.447719970718,,,,,,5414.115760999266,568.9494090038352,5474.617450032383,,,,,,,False,least_backlog,1,70,959
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,mid_b,1.446978,,,146.0687829530798,,,,,,5053.592377982568,181.2118130037561,5088.735408033244,,,,,,,True,least_backlog,1,69,947
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_04,1.471833,,,146.0687829530798,,,,,,5053.592377982568,156.35681297862902,5063.880408008117,,,,,,,True,least_backlog,1,68,946
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_04,1.582274,,,508.718165976461,,,,,,5407.702119962778,554.6555960318074,5453.639550018124,,,,,,,False,least_backlog,1,118,1025
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_16,1.952273,,,149.8264690162614,,,,,,5048.810423002578,184.65659604407847,5083.640550030395,,,,,,,False,least_backlog,1,127,1026
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_05,2.544356,,,144.38837603665888,,,,,,5038.142390025314,168.5164850205183,5062.270499009173,,,,,,,True,least_backlog,1,208,1099
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_03,2.673679,,,615.5451870290563,,,,,,5396.5554350288585,654.7649060375988,5435.775154037401,,,,,,,False,least_backlog,1,287,1156
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_11,2.841104,,,468.59488904010504,,,,,,5249.605137039907,487.3399060452357,5268.350154045038,,,,,,,False,least_backlog,1,275,1155
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_extra_10,3.07499,,,199.66891803778708,,,,,,4980.679166037589,253.45390604343265,5034.464154043235,,,,,,,True,least_backlog,1,288,1157
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,short_a,3.144598,,,151.33132302435115,,,,,,4932.867449999321,255.12836105190217,5036.664488026872,,,,,,,True,least_backlog,1,303,1163
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_b,3.412292,,,562.6218739780597,,,,,,5283.137022983283,622.6802479941398,5343.195396999363,,,,,,,False,least_backlog,1,409,1195
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_00,3.75888,,,401.47451701341197,,,,,,5061.083839973435,409.207082062494,5068.816405022517,,,,,,,False,least_backlog,1,441,1199
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_14,4.100883,,,638.9985139830969,,,,,,5157.120971009135,706.2244929838926,5224.346950009931,,,,,,,False,least_backlog,1,561,1214
high_l50,,,mistral-7b-instruct-v0.2,,,,,,0,long_extra_13,4.307758,,,561.9043899932876,,,,,,5080.606511968654,571.1613390594721,5089.863461034838,,,,,,,False,least_backlog,1,580,1216
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_12,0.056734,,,73.31647799583152,,,,,,4589.404937985819,73.38027702644467,4589.468737016432,,,,,,,True,least_backlog,0,1,682
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_02,0.17221,,,138.63115897402167,,,,,,4661.143092962448,167.09876799723133,4689.610701985657,,,,,,,True,least_backlog,0,5,743
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_06,0.40374,,,425.7857979973778,,,,,,4950.142154004425,432.0755670196377,4956.431923026685,,,,,,,False,least_backlog,0,20,877
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_16,0.67477,,,141.89204497961327,,,,,,4666.24840098666,161.04556701611727,4685.401923023164,,,,,,,True,least_backlog,0,21,878
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_05,0.753789,,,353.54386299150065,,,,,,4879.421632969752,363.301751029212,4889.179521007463,,,,,,,False,least_backlog,0,34,946
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_00,1.222007,,,138.52990098530427,,,,,,4669.460595003329,174.83065597480163,4705.761349992827,,,,,,,True,least_backlog,0,59,1011
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_10,1.339675,,,431.87870900146663,,,,,,4958.60375801567,489.05993899097666,5015.78498800518,,,,,,,False,least_backlog,0,96,1102
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_17,1.631435,,,146.0518370149657,,,,,,4672.776886029169,197.2999389981851,4724.024988012388,,,,,,,False,least_backlog,0,97,1103
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_15,1.687524,,,144.6399230044335,,,,,,4675.126146990806,211.09687897842377,4741.583102964796,,,,,,,True,least_backlog,0,106,1117
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_09,2.002767,,,141.61346899345517,,,,,,4671.107286994811,180.03575399052352,4709.5295719918795,,,,,,,True,least_backlog,0,143,1166
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_03,2.045993,,,141.2863450241275,,,,,,4671.741986996494,207.9361480427906,4738.391790015157,,,,,,,True,least_backlog,0,154,1178
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_06,2.165321,,,140.21434698952362,,,,,,4673.658226034604,157.73035999154672,4691.174239036627,,,,,,,True,least_backlog,0,166,1189
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_07,2.374658,,,434.1674569877796,,,,,,4956.1902869609185,454.2214469984174,4976.244276971556,,,,,,,False,least_backlog,0,251,1253
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_01,2.699015,,,150.12804401339963,,,,,,4669.214757042937,204.69290297478437,4723.779616004322,,,,,,,True,least_backlog,0,265,1262
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,long_extra_15,2.732364,,,150.12804401339963,,,,,,4669.214757042937,171.34390299906954,4690.430616028607,,,,,,,False,least_backlog,0,266,1263
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_08,2.894101,,,143.74249702086672,,,,,,4660.514174029231,153.38100102962926,4670.152678037994,,,,,,,True,least_backlog,0,297,1276
high_l50,,,mistral-7b-instruct-v0.2,,,,,,1,short_extra_13,3.093428,,,140.84568497492,,,,,,4677.689886011649,167.17016499023885,4704.014366026968,,,,,,,True,least_backlog,0,346,1292
