gpu_profile,gpu_label,density,density_level,target_long_fraction_pct,model_key,distserve_decode_replay_mode,distserve_decode_batch_size,distserve_decode_batch_alpha,cucumis_dispatcher,comparison_scope,distserve_all_ttft_p99_ms,cucumis_all_ttft_p99_ms,all_ttft_p99_ratio,distserve_short_ttft_p99_ms,cucumis_short_ttft_p99_ms,short_ttft_p99_ratio,distserve_all_completion_p99_ms,cucumis_all_completion_p99_ms,all_completion_p99_ratio,distserve_round_wall_ms,cucumis_round_wall_ms,round_wall_ratio,distserve_throughput_rps,cucumis_throughput_rps,throughput_ratio
rtx5090,RTX 5090,mid_l10,mid,10,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,227.45,369.339,0.615828,201.877,108.935,1.8532,8791.91,3284.94,2.67643,14132.5,8439.53,1.67457,2.83042,4.7444,0.596582
rtx5090,RTX 5090,mid_l30,mid,30,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,305.505,383.97,0.795649,230.996,100.15,2.30651,8977.5,3435.55,2.61312,14232.9,8589.61,1.65699,2.81039,4.65679,0.603504
rtx5090,RTX 5090,mid_l50,mid,50,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,374.753,429.382,0.872773,337.042,120.298,2.80174,8952.72,3731.15,2.39945,14241.4,8948.63,1.59146,2.80871,4.46997,0.62835
rtx5090,RTX 5090,mid_l70,mid,70,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,929.472,447.611,2.07652,360.44,114.393,3.15089,9500.72,3786.71,2.50897,14867,8746.31,1.6998,2.69297,4.57337,0.588837
rtx5090,RTX 5090,mid_l90,mid,90,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1568.34,810.891,1.9341,204.238,99.3162,2.05644,9038.22,4518.9,2.00009,14249.8,8999.84,1.58334,2.80705,4.44454,0.631574
rtx5090,RTX 5090,high_l10,high,10,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,230.872,379.28,0.608713,195,124.076,1.57162,10082.7,3487.18,2.89137,14140.6,7338.87,1.92681,2.82881,5.45062,0.518988
rtx5090,RTX 5090,high_l30,high,30,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,579.93,400.221,1.44903,546.774,115.124,4.74945,10121.9,3558.92,2.84408,14117.5,7304.9,1.93261,2.83336,5.47578,0.517435
rtx5090,RTX 5090,high_l50,high,50,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,605.207,458.62,1.31963,418.429,108.192,3.86746,10161.9,3552.2,2.86074,14199.9,7045.77,2.01538,2.81693,5.67717,0.496185
rtx5090,RTX 5090,high_l70,high,70,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1678.42,490.037,3.42509,437.361,115.249,3.79491,10701.5,4021.5,2.66107,14758.4,7552.66,1.95407,2.71531,5.29615,0.512695
rtx5090,RTX 5090,high_l90,high,90,baichuan2-7b-chat,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,2817.77,2110.46,1.33515,280.045,121.489,2.3051,11002.1,4805.32,2.28957,14976.5,8137.2,1.8405,2.67564,4.93391,0.542295
rtx5090,RTX 5090,mid_l10,mid,10,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,442.657,482.002,0.918373,423.868,181.292,2.33805,18663.9,5675.53,3.28848,24016.9,11005.8,2.18221,1.66552,3.63585,0.458082
rtx5090,RTX 5090,mid_l30,mid,30,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,480.791,579.76,0.829294,443.32,180.803,2.45195,20086.3,5800.84,3.46265,25423.1,10976.5,2.31614,1.57339,3.64417,0.431756
rtx5090,RTX 5090,mid_l50,mid,50,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,602.86,703.869,0.856495,516.426,183.875,2.80858,20113.4,5984.8,3.36075,25380,11304.7,2.24508,1.5784,3.53844,0.446072
rtx5090,RTX 5090,mid_l70,mid,70,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1635.51,1570.55,1.04136,551.377,156.028,3.53384,19040.4,6335.2,3.00549,24438.3,11222.5,2.17762,1.63679,3.59143,0.455747
rtx5090,RTX 5090,mid_l90,mid,90,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,5248.6,2663.47,1.97059,2358.72,141.169,16.7085,19908.2,7463.55,2.66739,25357.1,12249.1,2.07012,1.58377,3.26555,0.484995
rtx5090,RTX 5090,high_l10,high,10,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,407.56,447.598,0.910551,405.444,140.497,2.88577,19556.4,4578.62,4.27125,23585.3,8493.7,2.77681,1.69598,4.70938,0.360129
rtx5090,RTX 5090,high_l30,high,30,gemma-2-9b-it,continuous_batching,16,0.08,least_backlog,equal_resource_2xgpu_real_split,1153.95,548.377,2.10429,1124.73,192.321,5.84816,19704.5,6257.44,3.14897,23731.2,10066.2,2.35751,1.68555,3.9745,0.42409
