density,density_level,target_long_fraction_pct,measured_long_fraction,model_key,model_label,cucumis_all_ttft_p99_ms,vllm_all_ttft_p99_ms,best_chunk_all_ttft_p99_ms,cucumis_vs_vllm_all_ttft_p99_ms_improvement,cucumis_vs_best_chunk_all_ttft_p99_ms_improvement,cucumis_short_ttft_p99_ms,vllm_short_ttft_p99_ms,best_chunk_short_ttft_p99_ms,cucumis_vs_vllm_short_ttft_p99_ms_improvement,cucumis_vs_best_chunk_short_ttft_p99_ms_improvement,cucumis_all_completion_p99_ms,vllm_all_completion_p99_ms,best_chunk_all_completion_p99_ms,cucumis_vs_vllm_all_completion_p99_ms_improvement,cucumis_vs_best_chunk_all_completion_p99_ms_improvement,cucumis_short_completion_p99_ms,vllm_short_completion_p99_ms,best_chunk_short_completion_p99_ms,cucumis_vs_vllm_short_completion_p99_ms_improvement,cucumis_vs_best_chunk_short_completion_p99_ms_improvement,cucumis_round_wall_ms,vllm_round_wall_ms,cucumis_vs_vllm_round_wall_ratio,cucumis_throughput_rps,vllm_throughput_rps,cucumis_vs_vllm_throughput_ratio
mid_l10,mid,10,0.1,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,378.8247064867755,515.4807231764424,515.4344811633927,1.3607368113791107,1.3606147443326433,134.65962068439694,128.0609832785558,129.01406504388433,0.9509976533997044,0.9580753635587304,4462.721510704141,4482.206403815071,4471.586427715374,1.0043661458740354,1.0019864374216427,4299.032318720128,4094.6739641105523,4085.1325363881188,0.9524641036728898,0.950244667526554,9889.625089999754,9814.86442752066,1.0076170855981939,4.044643060106365,4.0754518571120215,0.9924403972649334
mid_l30,mid,30,0.3,baichuan2-7b-chat,Baichuan2-7B-Chat,524.053926426277,748.066395050846,762.3654835289926,1.4274607198388822,1.4547462485928742,204.3738030322129,196.11827167565934,203.00498620868893,0.9596057262033122,0.993302386102253,5075.075177270919,5139.348338488489,5214.895812197647,1.012664474706783,1.0275504559130324,4972.075517394987,4820.859810604015,4885.297775063955,0.9695870052130265,0.9825469782131351,10289.923011499923,10129.412576992763,1.0158459765842425,3.887311881517368,3.9488983866476,0.9844041301902134
mid_l30,mid,30,0.3,gemma-2-9b-it,Gemma-2-9B-IT,765.7026474204031,1208.8249115957296,1251.8411925958935,1.5787132454983321,1.6348920782933898,287.7354850163101,295.91552990081254,320.3777382377302,1.0284290444191782,1.113445351446902,8689.023186841805,9048.414639550901,9206.7965035839,1.0413615483560155,1.0595893583902716,8199.574979137687,8245.4026817446,8388.17671782279,1.0055890339101126,1.0230014042392397,13775.200450007105,13798.63670800114,0.9983015526468317,2.903782439752975,2.898853792087795,1.0017002056739228
mid_l30,mid,30,0.3,gemma-7b-it,Gemma-7B-IT,704.5592461311026,1248.6628922991804,1245.8219462330453,1.7722610258198677,1.7682287942059396,409.9707243446029,320.08046761417063,315.8614564634627,0.7807398153267291,0.7704488094080684,5755.8075011047185,6817.259380648029,6795.075062458345,1.1844140686323483,1.1805598191312268,5541.2313159240875,6325.943153022381,6315.536703332036,1.1416132610893235,1.1397352579710565,10363.483784982236,10425.894312997116,0.9940138921284597,3.8597059664296793,3.8366051758641375,1.0060211539907384
mid_l30,mid,30,0.3,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,622.7884392517444,841.1651295312913,808.8580175832612,1.3506434553311841,1.2987685168900567,234.79260149309994,224.7804680961417,202.2499179386068,0.9573575430686965,0.8613981729085723,6049.994673342735,5714.854002537322,5606.136372563778,0.9446047990286508,0.9266349270132966,5683.758053952915,5222.8654512469075,5127.0507053041365,0.9189105872679665,0.9020529474752004,11080.374759010738,10434.516465524212,1.0618963318157053,3.6099874179278872,3.8334327188026274,0.9417114327378796
mid_l30,mid,30,0.3,qwen2.5-7b-instruct,Qwen2.5-7B-Instruct,505.93666091910563,693.1460655902629,697.0597841686686,1.3700253789299728,1.377760968937022,206.37086075556,182.7362343427376,180.9203476709081,0.8854749826293699,0.8766758398376927,5310.805296109174,4872.121129671577,4865.987385852786,0.9173978065512988,0.9162428510451565,5057.560605265608,4465.886284262233,4448.710923942272,0.8830119167751819,0.8796159396113927,10445.402734476374,9886.587312998017,1.056522579914272,3.829438058082113,4.045893579754823,0.9464999468211848
mid_l50,mid,50,0.5,baichuan2-7b-chat,Baichuan2-7B-Chat,629.7332474199357,864.6197677063174,857.459420626983,1.372993678273665,1.3616232335517595,247.66407829505616,204.44965851085723,216.79942662856774,0.8255119592567027,0.8753769546275596,5826.266623794218,5751.373662521655,5751.641546746541,0.9871456343987584,0.987191613109,5661.824759110168,5402.011606697924,5405.251115883875,0.9541114104610549,0.954683577443217,10503.383936505998,10779.063046502415,0.9744245757903912,3.809484156058013,3.7109052389128334,1.0265646549287957
mid_l50,mid,50,0.5,gemma-2-9b-it,Gemma-2-9B-IT,925.2913388176239,1436.675714875164,1471.1497863160912,1.5526739034551091,1.5899314352125982,316.1082129218265,352.4335754918866,355.47806300019147,1.114914327072683,1.1245454830624761,8948.12138789508,9891.067987481074,9734.208624376042,1.1053792811596859,1.0878494158052407,8512.421716164099,9046.778433241707,8920.518650288286,1.0627737599116978,1.0479413435719778,14166.208973008906,14946.816335024778,0.9477743390619794,2.823646823602704,2.6761553444498363,1.0551131979160906
mid_l50,mid,50,0.5,gemma-7b-it,Gemma-7B-IT,1161.2728884621174,2013.4534130673273,1930.3751851760899,1.7338331352364207,1.662292476088459,396.5545332175677,327.8257163101807,330.23423443344655,0.8266850807384939,0.8327586921122526,7352.259708440979,8522.415796989517,8383.108559897519,1.1591559785633123,1.1402084382673592,7111.98512012721,8052.469018096745,7882.0897963270545,1.1322392949484563,1.1082826613374677,11907.308595022187,12076.687487482559,0.9859747225689219,3.359592661792728,3.312166909198618,1.0143186481521804
mid_l50,mid,50,0.5,mistral-7b-instruct-v0.2,Mistral-7B-Instruct-v0.2,714.2844660609262,1068.639412993798,1059.9589425860904,1.4960977926442074,1.4839451128364303,280.3958693901949,267.52647102694027,266.9605010014493,0.9541027533991746,0.9520842856281555,6408.5803143066005,6434.310010810441,6357.158975279017,1.0040148824297952,0.9919761731139126,6159.673018865724,6029.209646620438,5933.296708360431,0.9788197568530497,0.9632486481324655,11575.232411996694,11253.535933996318,1.0285862576782243,3.4557101891671858,3.554442412749284,0.9722228658908751
