density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_extra_00,221.0059550125152,1330.6278829695657,9.119757974985987,230.12571298750117,1551.6338379820809
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,long_extra_01,222.33672899892554,4637.054327991791,2.691481029614806,225.02821002854034,4859.391056990717
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,mid_b,76.85039099305868,4607.581832970027,71.99346614015667,76.29634294426069,4684.432223963086
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_a,76.28067198675126,4602.163001021836,2.385870029684156,78.66654201643541,4678.443673008587
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_00,76.51994202751666,4623.410880973097,1.4927689917385578,78.01271101925522,4699.930823000614
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_01,78.8532070000656,4610.635350982193,72.04117735909676,78.09129898669198,4689.4885579822585
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_02,78.02004198310897,4608.833165024407,0.7626260630786419,78.78266804618761,4686.853207007516
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_03,76.88921299995854,4617.008995031938,0.5494389915838838,77.43865199154243,4693.8982080318965
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_04,75.75885200640187,4619.47560403496,3.5815900191664696,79.34044202556834,4695.234456041362
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_05,77.3113279719837,4608.196185028646,0.19737903494387865,77.50870700692758,4685.50751300063
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_06,78.10285105369985,3470.9593919687904,0.09600899647921324,78.19886005017906,3549.0622430224903
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_07,76.2411379837431,4616.270964033902,1.1782720102928579,77.41940999403596,4692.512102017645
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_08,77.03532499726862,4625.411288056057,0.8275260333903134,77.86285103065893,4702.446613053326
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_09,76.54978899518028,4610.147153027356,72.03354926605243,76.54287503100932,4686.696942022536
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_10,77.76064600329846,1977.4567619897425,0.10198901873081923,77.86263502202928,2055.217407993041
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_11,77.05720298690721,4611.3341029849835,72.05209535914037,76.86400599777699,4688.391305971891
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_12,75.71449602255598,4595.163509948179,1.4731019618920982,77.18759798444808,4670.878005970735
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_13,77.41859200177714,4601.74662200734,0.1378969755023718,77.55648897727951,4679.165214009117
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_14,76.29203802207485,4628.1697289668955,1.656999986153096,77.94903800822794,4704.46176698897
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_15,80.43587603606284,4617.325582948979,72.1457122335778,77.52735196845606,4697.761458985042
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_16,76.62848604377359,4635.518534923904,2.890526957344264,79.51901300111786,4712.147020967677
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_17,76.46313396980986,4654.428061039653,1.4907399890944362,77.9538739589043,4730.8911950094625
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_18,76.06203900650144,4616.7380010010675,1.650354010052979,77.71239301655442,4692.800040007569
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_19,77.21830601803958,4619.80364396004,1.5003120061010122,78.7186180241406,4697.02194997808
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_20,76.77066104952246,4592.742669919971,1.725788926705718,78.49644997622818,4669.513330969494
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_21,77.09549996070564,4597.639088053256,1.5870040515437722,78.68250401224941,4674.734588013962
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_22,76.89816498896107,4618.459496006835,2.1269419812597334,79.0251069702208,4695.357660995796
high_l10,high,10,baichuan2-7b-chat,baichuan-inc--Baichuan2-7B-Chat,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,1,short_extra_23,77.30729703325778,4595.346203946974,0.6289499578997493,77.93624699115753,4672.653500980232
