density,density_level,target_long_fraction_pct,model_key,method,method_variant,dispatcher,gpu_count,replica_count,replica_execution,repeat_count,all_completion_p50_ms,all_completion_p90_ms,all_completion_p99_ms,all_ttft_p50_ms,all_ttft_p90_ms,all_ttft_p99_ms,long_completion_p50_ms,long_completion_p90_ms,long_completion_p99_ms,long_request_count,long_ttft_p50_ms,long_ttft_p90_ms,long_ttft_p99_ms,measured_long_fraction,request_count,round_wall_ms,short_completion_p50_ms,short_completion_p90_ms,short_completion_p99_ms,short_request_count,short_ttft_p50_ms,short_ttft_p90_ms,short_ttft_p99_ms,throughput_rps
mid_l10,mid,10,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4603.497927761055,4656.873813725542,4940.679794572352,141.0399642336415,172.33462804870243,471.52792360488087,4871.3617870089365,4947.986521522398,4969.9067023725365,4.0,403.72521874087397,477.7820371935377,496.544377959508,0.1,40.0,10245.95373148482,4602.179157489445,4627.866641996661,4637.237518635811,36.0,140.63369976065587,144.64809725177474,149.4306187116308,3.9039816223269996
mid_l10,mid,10,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4654.079079511575,5209.078280653921,5573.690169300244,144.43656126968563,182.97757998516346,526.5521450908273,5522.269604975008,5580.938516315655,5602.683557361888,4.0,478.5489017231157,533.5671473032562,554.6121539405431,0.1,40.0,10866.45997453748,4653.043641257682,5205.717485485366,5209.53247697762,36.0,143.83351949800272,159.57496174087282,162.19069285871228,3.6810518541190156
mid_l30,mid,30,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5098.150479738251,5268.745030803257,5416.211143282708,159.85880373045802,434.9983241962036,485.96551629365416,4939.8038030049065,5030.113696545595,5455.763452042593,12.0,420.8720087626716,442.263849612209,505.8750952093397,0.3,40.0,10915.215034487534,5253.917290741811,5269.098787402618,5272.4670999799855,28.0,158.91038275731262,162.0012517843861,166.18235804053256,3.664611068647076
mid_l30,mid,30,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5113.599032993079,5502.784217972658,5574.827987075259,159.66518750065006,485.2567946363706,580.8012394353864,5314.3053172389045,5573.449000730761,5575.324765871919,12.0,479.7172142280033,571.3679244945524,581.7542288187542,0.3,40.0,10901.982409980024,4649.055916495854,5254.676897582249,5258.628652567277,28.0,146.06625375745352,162.50852798402775,167.00424545735586,3.6690640592109194
mid_l50,mid,50,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4906.304138494306,5206.387309712591,5335.89144534868,179.1691127436934,509.8069399857195,668.5704887239262,5081.078049493954,5262.141936548869,5351.59883644752,20.0,438.96604723704513,560.4500182525956,668.660289128311,0.5,40.0,10530.160962500719,4761.389630235499,4956.561788168619,4986.926501689595,20.0,141.66869448672514,148.26794410473667,239.27401416702185,3.7986124055975914
mid_l50,mid,50,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4998.670575252618,5690.330171526875,5738.84843657841,203.69444499374367,558.3243908185977,613.4644287527772,5199.614396260586,5736.401624701102,5739.207006270299,20.0,439.7106647520559,565.7768803532235,620.7772596512223,0.5,40.0,11136.851536996306,4723.312362257275,5335.858848498901,5339.512742285151,20.0,144.8177907441277,163.32577774883248,167.6678454488865,3.5917016270436184
mid_l70,mid,70,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4947.758176509524,5180.674985540099,5245.3900562552735,368.93670124118216,491.05635742016614,590.9994535840815,5039.922956246301,5201.372145721689,5247.070784177631,28.0,439.448145480128,534.8195816477528,597.4480927846162,0.7,40.0,10581.768755464918,4838.672610247158,4934.3051235424355,4948.99882533733,12.0,141.2505497573875,146.87365230638534,172.7957074844744,3.7801493258973817
mid_l70,mid,70,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5263.01175475237,5600.761775567662,5620.728358129272,412.20500724739395,513.2016741030384,585.3688167201472,5312.488198003848,5615.614802855998,5621.091872091638,28.0,462.9583242494846,529.6471933717839,589.8325698790723,0.7,40.0,11126.335927007352,5245.632691250648,5301.781526586274,5303.247579429299,12.0,149.01395325432532,164.04791977547575,166.29456983675482,3.5950743810392582
mid_l90,mid,90,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5075.291062996257,5291.506090140319,5419.919155132084,405.7415657443926,534.7554044536082,576.9709771394264,5094.829139241483,5312.081940748612,5422.6677064507385,36.0,424.98158423404675,536.6004082461586,576.9911668205168,0.9,40.0,10657.705344971368,4933.644687771448,4986.42532772501,5002.107270897832,4.0,140.7205590076046,142.3555225977907,142.9037435495411,3.753153114051578
mid_l90,mid,90,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5283.529180727783,5845.0178460770985,6000.266037556285,449.00050599244423,586.3914424320683,693.7392022603308,5300.016580251395,5865.596314470167,6002.767648575536,36.0,466.79845750622917,590.481746243313,696.9924497199826,0.9,40.0,10994.133435523003,5012.129653987358,5446.756509901024,5612.293991037295,4.0,140.6084837508388,156.64886200102046,162.71478594571818,3.640837614716741
high_l10,high,10,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4616.636673992616,4741.912597080227,5024.53973976837,140.87469925289042,201.52968681359224,503.84435838001076,4912.863357501919,5036.059038399253,5070.616934291902,4.0,403.1244937359588,515.3110070998082,549.7109532592003,0.1,40.0,8837.688256503436,4598.529893992236,4722.164796243305,4729.780577185738,36.0,140.7834625133546,143.5363245109329,173.07911464013154,4.526071280075543
high_l10,high,10,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4632.468846975826,4697.6367457042215,4987.91212953598,141.75022501149215,148.9386704750359,437.72524315398186,4880.467058741488,4988.237540327827,4989.21377270337,4.0,376.1592804949032,438.5851531929802,441.16488330997527,0.1,40.0,8921.730368488026,4630.301198747475,4688.89143425622,4697.181598303723,36.0,140.93595325539354,145.7199492433574,148.89034551888471,4.483435203719175
high_l30,high,30,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4593.647348738159,5187.996996537549,5355.712846447423,140.2903907437576,504.24755334388465,582.8161431456101,5124.181121529546,5307.120067058713,5375.54850704124,12.0,487.92957299156114,530.597392571508,606.1768826437765,0.3,40.0,8814.568843480647,4554.349815502064,4883.145161837456,5094.488457679108,28.0,139.4549152610125,145.2453134523239,176.95969969790897,4.537951512818726
high_l30,high,30,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4909.62678300275,5148.043195702485,5455.865173121274,153.97054799541365,438.95585987193056,550.1550581678748,4918.2643647363875,5406.649091132567,5477.00937662652,12.0,430.4646344826324,534.0525090665324,556.5650833165273,0.3,40.0,9184.89807598873,4957.512041248265,5101.206939987605,5125.1312485925155,28.0,149.32170824613422,162.1030456502922,174.3988432266633,4.3589762853909875
high_l50,high,50,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4886.137977489852,5228.765255524195,5448.112777209026,152.82807024777867,516.3349317532266,667.4095131314243,5037.4755564989755,5360.408616851782,5454.947015313082,20.0,439.6278579806676,603.092928204569,674.889709733834,0.5,40.0,9152.067063495308,4821.693513484206,4995.64001688268,5136.046255399415,20.0,141.212816524785,160.14246259583166,219.94132202788018,4.370622897321663
high_l50,high,50,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4967.953480008873,5292.137288599042,5412.9476724608685,150.35347001685295,515.8222665340874,628.0216494665365,5014.17230599327,5400.172410241794,5413.800427865644,20.0,433.4234347479651,572.9789169796277,632.6614848602912,0.5,40.0,9332.76219296644,4695.735837231041,5054.979022717453,5057.525294018851,20.0,143.06104824936483,149.642131163273,189.97053487546503,4.285976623115401
high_l70,high,70,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5075.937668501865,5279.662530665519,5396.738527254784,327.6791777461767,513.0636544869049,655.0263243427617,5073.754978002398,5318.62810656603,5398.222124877502,28.0,423.12236726866104,545.7418331003282,664.3207217860618,0.7,40.0,9271.856985494052,5094.060763251036,5115.256056506769,5118.155572152755,12.0,141.88103174092248,150.11697754671331,181.6435047137202,4.31426673512533
high_l70,high,70,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5340.841049765004,5570.295829701354,5662.5127312931,185.55635400116444,585.475853268872,650.523617369181,5342.37605999806,5602.209193535964,5663.090197517886,28.0,446.617481240537,599.6261357795447,653.9069629486767,0.7,40.0,9496.522430005993,5299.022222257918,5346.52019997302,5347.174678618612,12.0,151.9245662348112,165.40920537081547,166.07507973327301,4.212068661908992
high_l90,high,90,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,5252.128469262971,5558.4886415163055,5697.196413856291,437.05044825037476,593.9709096419392,666.1052679599379,5252.128469262971,5567.825415520929,5700.095951255935,36.0,451.85528075671755,594.5568722527241,666.5581897614175,0.9,40.0,9353.591450026981,5240.389882266754,5362.581135996152,5363.557100939215,4.0,141.27501449547708,144.1977897833567,144.9468046083348,4.276435136845369
high_l90,high,90,mistral-7b-instruct-v0.2,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,5464.736605019425,5936.612632311881,6059.672213323356,436.21875524695497,584.5218019501772,673.225590211805,5429.436095510027,5963.6858775047585,6062.45417616301,36.0,466.7451495042769,593.4648017573636,675.155941012781,0.9,40.0,9821.440716509498,5634.586121261236,5679.062189967954,5679.805837056192,4.0,154.04340178065468,160.16808834974654,160.36048507259693,4.072731919079145
mid_l10,mid,10,qwen2.5-7b-instruct,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4478.892084749532,4625.909520938876,4792.365682646923,139.51150147477165,164.21021509449955,437.4117352333269,4400.035085505806,4755.634095138521,4882.360375643184,4.0,401.39186575834174,439.8741354147205,447.2613359589013,0.1,40.0,10272.840208503527,4563.222760494682,4625.314566263114,4628.966456565831,36.0,135.28951900661923,141.77411500713788,145.4054985952098,3.8937668879989156
mid_l10,mid,10,qwen2.5-7b-instruct,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4100.959704752313,4146.997805900173,4411.148605249764,125.28166300035082,154.70822597271788,421.81869587482646,4372.713080258109,4416.112843653536,4431.005558864854,4.0,381.03075450635515,427.39592193684075,444.12760012288345,0.1,40.0,9733.994969005334,4096.803880020161,4117.6129377417965,4128.304347165977,36.0,124.99769125133753,126.79484876571223,134.23759730067104,4.109310022827081
mid_l30,mid,30,qwen2.5-7b-instruct,CUCUMIS,CUCUMIS-2A100-RR,round_robin,2.0,2,real_split_workload_sequential_a100,2,4065.141364495503,4429.183222097345,4550.053417843301,125.02325102104805,387.7799254027195,506.0558998747728,4348.668389764498,4522.290375723969,4560.068856414873,12.0,324.88712524354924,449.71692731778603,530.451498364564,0.3,40.0,9691.435451021283,4050.0826939969556,4162.075140341767,4270.7308341233875,28.0,123.73321350605693,126.27538043598179,127.84236092033098,4.127361625459047
mid_l30,mid,30,qwen2.5-7b-instruct,CUCUMIS,CUCUMIS-2A100-LB,least_backlog,2.0,2,real_split_workload_sequential_a100,2,4127.771981497062,4396.739347462426,4455.75931887317,127.00323552417103,391.89723882009287,453.53866926336195,4373.570579249645,4448.773158949916,4458.4546373732155,12.0,380.75917700189166,450.0727358885342,455.00332575000357,0.3,40.0,9743.091527502162,4118.6607884883415,4138.574353622971,4145.377830246289,28.0,125.54948225442786,129.66872800025158,132.2436020913301,4.105473844646603
